Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Quality
1665533205.0949688,407,1665461205,0,GPS1_Frame,42.337318420410156,-71.08670043945312,13.300000190734863,328096.75,4689338.0,19,T,5
1665533206.103334,408,1665461206,0,GPS1_Frame,42.33731460571289,-71.08670043945312,13.5,328096.78125,4689338.0,19,T,5
1665533207.1017265,409,1665461207,0,GPS1_Frame,42.33731460571289,-71.0866928100586,13.600000381469727,328096.84375,4689337.5,19,T,5
1665533208.1044695,410,1665461208,0,GPS1_Frame,42.337310791015625,-71.0866928100586,13.300000190734863,328097.21875,4689337.5,19,T,5
1665533209.105061,411,1665461209,0,GPS1_Frame,42.337310791015625,-71.08668518066406,13.399999618530273,328097.53125,4689337.5,19,T,5
1665533210.110487,412,1665461210,0,GPS1_Frame,42.337310791015625,-71.08668518066406,13.399999618530273,328097.6875,4689337.0,19,T,5
1665533211.1042316,413,1665461211,0,GPS1_Frame,42.33730697631836,-71.08668518066406,13.600000381469727,328097.875,4689337.0,19,T,5
1665533212.1038308,414,1665461212,0,GPS1_Frame,42.33730697631836,-71.08667755126953,13.600000381469727,328098.09375,4689337.0,19,T,5
1665533213.0944924,415,1665461213,0,GPS1_Frame,42.33730697631836,-71.08667755126953,13.600000381469727,328098.34375,4689337.0,19,T,5
1665533214.1003807,416,1665461214,0,GPS1_Frame,42.33730697631836,-71.08667755126953,13.600000381469727,328098.46875,4689336.5,19,T,5
1665533215.1144788,417,1665461215,0,GPS1_Frame,42.337303161621094,-71.08667755126953,13.5,328098.625,4689336.5,19,T,5
1665533216.1123407,418,1665461216,0,GPS1_Frame,42.337303161621094,-71.086669921875,13.5,328098.71875,4689336.0,19,T,5
1665533217.1078506,419,1665461217,0,GPS1_Frame,42.33729934692383,-71.086669921875,13.5,328098.9375,4689336.0,19,T,5
1665533218.1162438,420,1665461218,0,GPS1_Frame,42.33729934692383,-71.086669921875,13.5,328099.0,4689336.0,19,T,5
1665533219.1064749,421,1665461219,0,GPS1_Frame,42.33729553222656,-71.086669921875,13.600000381469727,328099.03125,4689335.5,19,T,5
1665533220.1064353,422,1665461220,0,GPS1_Frame,42.33729553222656,-71.086669921875,13.600000381469727,328099.0625,4689335.5,19,T,2
1665533221.1072526,423,1665461221,0,GPS1_Frame,42.3372917175293,-71.086669921875,13.800000190734863,328099.0625,4689335.5,19,T,5
1665533222.1070888,424,1665461222,0,GPS1_Frame,42.3372917175293,-71.086669921875,14.0,328099.15625,4689335.0,19,T,5
1665533223.1015837,425,1665461223,0,GPS1_Frame,42.33728790283203,-71.086669921875,14.300000190734863,328099.09375,4689335.0,19,T,5
1665533224.1114233,426,1665461224,0,GPS1_Frame,42.33728790283203,-71.086669921875,14.5,328099.03125,4689334.5,19,T,5
1665533225.110661,427,1665461225,0,GPS1_Frame,42.33728790283203,-71.086669921875,14.699999809265137,328098.875,4689334.5,19,T,5
1665533226.118191,428,1665461226,0,GPS1_Frame,42.337284088134766,-71.086669921875,14.899999618530273,328098.71875,4689334.5,19,T,5
1665533227.1192372,429,1665461227,0,GPS1_Frame,42.337284088134766,-71.08667755126953,15.199999809265137,328098.5625,4689334.0,19,T,5
1665533228.1168995,430,1665461228,0,GPS1_Frame,42.337284088134766,-71.08667755126953,15.199999809265137,328098.375,4689334.0,19,T,5
1665533229.1081314,431,1665461229,0,GPS1_Frame,42.3372802734375,-71.08667755126953,15.300000190734863,328098.1875,4689334.0,19,T,5
1665533230.1085298,432,1665461230,0,GPS1_Frame,42.3372802734375,-71.08668518066406,15.5,328098.0,4689334.0,19,T,5
1665533231.1028333,433,1665461231,0,GPS1_Frame,42.3372802734375,-71.08668518066406,15.699999809265137,328097.78125,4689334.0,19,T,5
1665533232.1061618,434,1665461232,0,GPS1_Frame,42.3372802734375,-71.08668518066406,15.800000190734863,328097.625,4689334.0,19,T,5
1665533233.1092722,435,1665461233,0,GPS1_Frame,42.3372802734375,-71.08668518066406,15.899999618530273,328097.4375,4689334.0,19,T,5
1665533234.1041052,436,1665461234,0,GPS1_Frame,42.337276458740234,-71.0866928100586,15.899999618530273,328097.1875,4689333.5,19,T,5
1665533235.1098866,437,1665461235,0,GPS1_Frame,42.337276458740234,-71.0866928100586,16.0,328097.03125,4689333.5,19,T,5
1665533236.114811,438,1665461236,0,GPS1_Frame,42.33727264404297,-71.0866928100586,16.100000381469727,328096.8125,4689333.0,19,T,5
1665533237.1039717,439,1665461237,0,GPS1_Frame,42.33727264404297,-71.08670043945312,16.200000762939453,328096.5625,4689333.0,19,T,5
1665533238.113988,440,1665461238,0,GPS1_Frame,42.33727264404297,-71.08670043945312,16.299999237060547,328096.375,4689333.0,19,T,5
1665533239.0974407,441,1665461239,0,GPS1_Frame,42.3372688293457,-71.08670043945312,16.299999237060547,328096.15625,4689333.0,19,T,5
1665533240.11136,442,1665461240,0,GPS1_Frame,42.3372688293457,-71.08670806884766,16.399999618530273,328095.9375,4689332.5,19,T,5
1665533241.1002748,443,1665461241,0,GPS1_Frame,42.3372688293457,-71.08670806884766,16.5,328095.75,4689332.5,19,T,5
1665533242.1119566,444,1665461242,0,GPS1_Frame,42.33726501464844,-71.08670806884766,16.600000381469727,328095.59375,4689332.5,19,T,5
1665533243.0988157,445,1665461243,0,GPS1_Frame,42.33726501464844,-71.08670806884766,16.600000381469727,328095.46875,4689332.0,19,T,5
1665533244.1204803,446,1665461244,0,GPS1_Frame,42.33726119995117,-71.08671569824219,16.600000381469727,328095.21875,4689332.0,19,T,5
1665533245.104339,447,1665461245,0,GPS1_Frame,42.33726119995117,-71.08671569824219,16.5,328095.0,4689332.0,19,T,5
1665533246.1112823,448,1665461246,0,GPS1_Frame,42.337257385253906,-71.08672332763672,16.399999618530273,328094.78125,4689331.5,19,T,5
1665533247.1028686,449,1665461247,0,GPS1_Frame,42.337257385253906,-71.08672332763672,16.200000762939453,328094.59375,4689331.5,19,T,5
1665533248.1058288,450,1665461248,0,GPS1_Frame,42.33725357055664,-71.08672332763672,16.100000381469727,328094.40625,4689331.0,19,T,5
1665533249.1023452,451,1665461249,0,GPS1_Frame,42.33725357055664,-71.08673095703125,16.100000381469727,328094.15625,4689331.0,19,T,5
1665533250.1037717,452,1665461250,0,GPS1_Frame,42.337249755859375,-71.08673095703125,16.0,328093.90625,4689330.5,19,T,5
1665533251.1014798,453,1665461251,0,GPS1_Frame,42.337249755859375,-71.08673095703125,16.0,328093.6875,4689330.5,19,T,5
1665533252.1157458,454,1665461252,0,GPS1_Frame,42.33724594116211,-71.08673858642578,16.0,328093.5,4689330.5,19,T,5
1665533253.1032336,455,1665461253,0,GPS1_Frame,42.33724594116211,-71.08673858642578,16.0,328093.28125,4689330.0,19,T,5
1665533254.1009834,456,1665461254,0,GPS1_Frame,42.33724594116211,-71.08673858642578,16.0,328093.0625,4689330.0,19,T,5
1665533255.1184535,457,1665461255,0,GPS1_Frame,42.337242126464844,-71.08674621582031,16.100000381469727,328092.84375,4689330.0,19,T,5
1665533256.1014493,458,1665461256,0,GPS1_Frame,42.337242126464844,-71.08674621582031,16.200000762939453,328092.5625,4689329.5,19,T,5
1665533257.1000292,459,1665461257,0,GPS1_Frame,42.33723831176758,-71.08674621582031,16.200000762939453,328092.34375,4689329.5,19,T,5
1665533258.0919423,460,1665461258,0,GPS1_Frame,42.33723449707031,-71.08675384521484,16.299999237060547,328092.0625,4689329.0,19,T,5
1665533259.092723,461,1665461259,0,GPS1_Frame,42.33723449707031,-71.08675384521484,16.299999237060547,328091.78125,4689329.0,19,T,5
1665533260.0973594,462,1665461260,0,GPS1_Frame,42.33723068237305,-71.08676147460938,16.200000762939453,328091.5625,4689328.5,19,T,5
1665533261.094971,463,1665461261,0,GPS1_Frame,42.33723068237305,-71.08676147460938,16.100000381469727,328091.3125,4689328.5,19,T,5
1665533262.0965214,464,1665461262,0,GPS1_Frame,42.33722686767578,-71.08676147460938,16.100000381469727,328091.09375,4689328.0,19,T,5
1665533263.0932622,465,1665461263,0,GPS1_Frame,42.33722686767578,-71.0867691040039,16.100000381469727,328090.8125,4689328.0,19,T,5
1665533264.1021597,466,1665461264,0,GPS1_Frame,42.337223052978516,-71.0867691040039,16.100000381469727,328090.5625,4689328.0,19,T,5
1665533265.0894966,467,1665461265,0,GPS1_Frame,42.337223052978516,-71.08677673339844,16.100000381469727,328090.28125,4689327.5,19,T,5
1665533266.1042023,468,1665461266,0,GPS1_Frame,42.33721923828125,-71.08677673339844,16.100000381469727,328089.90625,4689327.5,19,T,5
1665533267.0905461,469,1665461267,0,GPS1_Frame,42.33721923828125,-71.08677673339844,16.0,328089.6875,4689327.0,19,T,5
1665533268.0879323,470,1665461268,0,GPS1_Frame,42.337215423583984,-71.08678436279297,16.0,328089.4375,4689327.0,19,T,5
1665533269.0900853,471,1665461269,0,GPS1_Frame,42.337215423583984,-71.08678436279297,16.100000381469727,328089.1875,4689326.5,19,T,5
